claim_id,afirmacion,valor_rango,unidad,condiciones,especie_cepa_material,escala,fuente_primaria,pagina_tabla,fecha_fuente,tipo_evidencia,incertidumbre,aplicacion_diseno,limitacion,archivos_que_la_usan,verificacion
A01,"Misión de ida y vuelta de aprox. 2 años, no 2 años en Marte",~2,años,"Total del viaje, incluye tránsito y espera de ventana",—,Misión,EL RETO .pdf; Guía Anexo A,p.1; p.32,2026,requisito,Aproximado en la fuente,Horizonte de consumibles,No fija estancia en superficie,PLAN-MAESTRO §1.2; SISTEMA §2,Leído en original
A02,El sistema opera 730 soles en superficie sin reabastecimiento,730,soles,Escenario elegido por el equipo,—,Misión,Decisión del equipo,PLAN §1.2; simulador L2364,2026-09,escenario ilustrativo,No justificado frente a A01; 730 soles ≈ 750 días,"Reloj del simulador, ciclos biológicos, ración",Contradice la lectura literal de A01,PLAN-MAESTRO; SISTEMA; DOCUMENTO-TECNICO; simulador; deck,Discrepante con A01 | P1: se propone horizonte de 539 d (DRA 5.0); las bases dan ≈355 d de superficie
A03,Tripulación de 6 personas,6,personas,—,—,Misión,EL RETO .pdf,p.1,2026,requisito,—,Cálculos por persona,—,Todos,Leído en original
A04,Llevar toda la comida exige 7.4–10.9 t (1.7–2.5 kg/persona/día × 6 × 730 d),7.4–10.9,t,"Días terrestres, no soles",Alimento empacado,Misión,"Ewert & Stromgren 2019, ICES-2019-126 (cita BVAD Tabla 4-53)",p.2,2019,resultado calculado,BVAD: 2.39 kg empacado/p/d; sin empaque y −10 % ≈ 1.76 kg; el valor 2.5 kg no se localizó,Dato de apertura del pitch,Mezcla con y sin empaque; usa días,"PLAN §5 dato 2, §6, §11; DOCUMENTO-TECNICO; PRESUPUESTO-MILPA-360",Límite inferior consistente; superior sin fuente
A05,"El regolito marciano contiene 0.5–1 % de percloratos (Phoenix, 2008)",0.5–1,% masa,Un solo sitio (Vastitas Borealis); lixiviado acuoso,Suelo marciano,Muestras de Phoenix,"Hecht et al. 2009, Science 325:64–67",Resumen,2009,dato publicado,Phoenix reporta ≈0.4–0.6 %; variabilidad planetaria no considerada,Carga de perclorato por bandeja,Cota superior no proviene de Phoenix; no extrapolable a toda la superficie,"PLAN §4.3, §5, §6, §11; SISTEMA; DOCUMENTO-TECNICO; INVESTIGACION; P04; P05; deck",Discrepante (resumen leído vía extracto; PUB-ind)
A06,Una bandeja de 20 kg contiene 100–200 g de perclorato,100–200,g,20 kg = capa de 2.5 cm a 1500 kg/m³,Regolito,Bandeja interior,Cálculo del equipo sobre A05,PLAN §4.3,2026-09,resultado calculado,Con 0.4–0.6 %: capa 75–113 g; cubeta completa 22 cm 664–996 g,Tamaño del problema del lavado,Solo cubre el 11.4 % del volumen de la cubeta,PLAN §4.3; SISTEMA; P05; deck Perclorato,Recalculado en script §3
A07,El lavado extrae casi por completo el perclorato del regolito,—,—,"Relación líquido/sólido, número de lavados y tiempo no definidos",Regolito o simulante,Bandeja,Sin fuente,—,—,hipótesis,Desconocida,Estación S1,Transfiere el contaminante al agua; no lo destruye,PLAN §4.3; SISTEMA; simulador,Pendiente de fuente y ensayo
A08,El biodigestor anóxico sirve como reactor de reducción de perclorato (DPRB con anoxia y donador orgánico),—,—,Anoxia; donador de electrones; sin cuantificar carga ni TRH,Azospira suillum; Dechloromonas spp.,Reactor,Sin fuente leída (PLAN cita ResearchGate 354174712 y Coker 2026),—,—,hipótesis,"Compatibilidad con metanogénesis, salinidad e inhibición no demostradas",Diferenciador 2: cámara A,Compartir anoxia no garantiza compatibilidad biológica,"PLAN §0.5, §4.3, §4.5; deck; simulador; P05",Pendiente de lectura
A09,"El O₂ de la clorito dismutasa es coproducto, no soporte vital",—,—,—,DPRB,Reactor,Declaración del equipo,PLAN §4.3,2026-09,hipótesis,Cualitativa,Límite declarado,Sin cuantificar; el O₂ en cámara anóxica afecta a la anoxia,PLAN; deck Limites,Coherente; sin cifra
A10,El Cl⁻ resultante es «sal inerte»,—,—,—,Cloruro,Circuito de agua,Sin fuente,PLAN §4.3; §11,—,hipótesis,Acumulación y salinidad no evaluadas,Reutilización del agua de lavado,El cloruro se acumula y sala el riego,PLAN; simulador; deck,Discrepante con la política científica
